country,year,food_supply,region
Costa Rica,1964,2110.0,Latin America & Caribbean
Cote d'Ivoire,1964,2560.0,
Croatia,1964,,Europe & Central Asia
Cuba,1964,2330.0,Latin America & Caribbean
Cyprus,1964,2600.0,Europe & Central Asia
Czech Republic,1964,,Europe & Central Asia
Denmark,1964,3110.0,Europe & Central Asia
Djibouti,1964,1570.0,Middle East & North Africa
Dominica,1964,1840.0,Latin America & Caribbean
Dominican Republic,1964,1860.0,Latin America & Caribbean
Ecuador,1964,2060.0,Latin America & Caribbean
Egypt,1964,2200.0,Middle East & North Africa
El Salvador,1964,1630.0,Latin America & Caribbean
Estonia,1964,,Europe & Central Asia
Ethiopia,1964,,Sub-Saharan Africa
Fiji,1964,2670.0,East Asia & Pacific
Finland,1964,3090.0,Europe & Central Asia
France,1964,3220.0,Europe & Central Asia
Gabon,1964,1870.0,Sub-Saharan Africa
Gambia,1964,2130.0,
Georgia,1964,,Europe & Central Asia
Germany,1964,2980.0,Europe & Central Asia
Ghana,1964,1870.0,Sub-Saharan Africa
Greece,1964,2880.0,Europe & Central Asia
Grenada,1964,1930.0,Latin America & Caribbean
Guatemala,1964,1950.0,Latin America & Caribbean
Guinea,1964,2060.0,Sub-Saharan Africa
Guinea-Bissau,1964,1620.0,Sub-Saharan Africa
Guyana,1964,2320.0,Latin America & Caribbean
Haiti,1964,1880.0,Latin America & Caribbean
Honduras,1964,1860.0,Latin America & Caribbean
Hungary,1964,3050.0,Europe & Central Asia
Iceland,1964,3140.0,Europe & Central Asia
India,1964,2000.0,South Asia
Indonesia,1964,1860.0,East Asia & Pacific
Iran,1964,1860.0,Middle East & North Africa
Iraq,1964,2030.0,Middle East & North Africa
Ireland,1964,3390.0,Europe & Central Asia
Israel,1964,2840.0,Middle East & North Africa
Italy,1964,3090.0,Europe & Central Asia
Jamaica,1964,2170.0,Latin America & Caribbean
Japan,1964,2630.0,East Asia & Pacific
Jordan,1964,2090.0,Middle East & North Africa
Kazakhstan,1964,,Europe & Central Asia
Kenya,1964,2190.0,Sub-Saharan Africa
Kiribati,1964,2550.0,East Asia & Pacific
Kuwait,1964,2560.0,Middle East & North Africa
Kyrgyz Republic,1964,,Europe & Central Asia
Lao,1964,1990.0,
Latvia,1964,,Europe & Central Asia
Lebanon,1964,2460.0,Middle East & North Africa
Lesotho,1964,2030.0,Sub-Saharan Africa
Liberia,1964,2170.0,Sub-Saharan Africa
Lithuania,1964,,Europe & Central Asia
Luxembourg,1964,,Europe & Central Asia
"Macedonia, FYR",1964,,Europe & Central Asia
Madagascar,1964,2520.0,Sub-Saharan Africa
Malawi,1964,2220.0,Sub-Saharan Africa
Malaysia,1964,2430.0,East Asia & Pacific
Maldives,1964,1560.0,South Asia
Mali,1964,1720.0,Sub-Saharan Africa
Malta,1964,2970.0,Middle East & North Africa
Mauritania,1964,2170.0,Sub-Saharan Africa
Mauritius,1964,2390.0,Sub-Saharan Africa
