country,year,food_supply,region,lifeexpband
Uganda,1962,2270.0,Sub-Saharan Africa,L
Ukraine,1962,,Europe & Central Asia,M
United Arab Emirates,1962,2780.0,Middle East & North Africa,H
United Kingdom,1962,3200.0,Europe & Central Asia,H
United States,1962,2860.0,North America,H
Uruguay,1962,2710.0,Latin America & Caribbean,H
Uzbekistan,1962,,Europe & Central Asia,M
Vanuatu,1962,2520.0,East Asia & Pacific,L
Venezuela,1962,2110.0,Latin America & Caribbean,H
Vietnam,1962,1960.0,East Asia & Pacific,H
Yemen,1962,1800.0,Middle East & North Africa,M
Zambia,1962,2150.0,Sub-Saharan Africa,L
Zimbabwe,1962,2160.0,Sub-Saharan Africa,L
Afghanistan,1963,2700.0,South Asia,L
Albania,1963,2160.0,Europe & Central Asia,H
Algeria,1963,1530.0,Middle East & North Africa,H
Angola,1963,1850.0,Sub-Saharan Africa,L
Antigua and Barbuda,1963,2050.0,Latin America & Caribbean,H
Argentina,1963,3030.0,Latin America & Caribbean,H
Armenia,1963,,Europe & Central Asia,H
Australia,1963,3170.0,East Asia & Pacific,H
Austria,1963,3250.0,Europe & Central Asia,H
Azerbaijan,1963,,Europe & Central Asia,M
Bahamas,1963,2380.0,,H
Bangladesh,1963,2170.0,South Asia,M
Barbados,1963,2650.0,Latin America & Caribbean,H
Belarus,1963,,Europe & Central Asia,H
Belgium,1963,,Europe & Central Asia,H
Belize,1963,2270.0,Latin America & Caribbean,M
Benin,1963,1700.0,Sub-Saharan Africa,L
Bolivia,1963,1810.0,Latin America & Caribbean,M
Bosnia and Herzegovina,1963,,Europe & Central Asia,H
Botswana,1963,1970.0,Sub-Saharan Africa,L
Brazil,1963,2240.0,Latin America & Caribbean,H
Brunei,1963,1990.0,East Asia & Pacific,H
Bulgaria,1963,3280.0,Europe & Central Asia,H
Burkina Faso,1963,1450.0,Sub-Saharan Africa,L
Cambodia,1963,1950.0,East Asia & Pacific,M
Cameroon,1963,2060.0,Sub-Saharan Africa,L
Canada,1963,2900.0,North America,H
Cape Verde,1963,1460.0,,H
Central African Republic,1963,2150.0,Sub-Saharan Africa,L
Chad,1963,2360.0,Sub-Saharan Africa,L
Chile,1963,2630.0,Latin America & Caribbean,H
China,1963,1590.0,East Asia & Pacific,H
Colombia,1963,2090.0,Latin America & Caribbean,H
