country,year,food_supply,region
Malta,1982,3090.0,Middle East & North Africa
Morocco,1982,2780.0,Middle East & North Africa
Oman,1982,,Middle East & North Africa
Saudi Arabia,1982,2900.0,Middle East & North Africa
Tunisia,1982,2860.0,Middle East & North Africa
United Arab Emirates,1982,3430.0,Middle East & North Africa
Yemen,1982,2090.0,Middle East & North Africa
Algeria,1983,2550.0,Middle East & North Africa
Djibouti,1983,1540.0,Middle East & North Africa
Egypt,1983,3050.0,Middle East & North Africa
Iran,1983,2770.0,Middle East & North Africa
Iraq,1983,3050.0,Middle East & North Africa
Israel,1983,3280.0,Middle East & North Africa
Jordan,1983,2570.0,Middle East & North Africa
Kuwait,1983,3010.0,Middle East & North Africa
Lebanon,1983,2930.0,Middle East & North Africa
Malta,1983,3110.0,Middle East & North Africa
Morocco,1983,2760.0,Middle East & North Africa
Oman,1983,,Middle East & North Africa
Saudi Arabia,1983,2930.0,Middle East & North Africa
Tunisia,1983,3000.0,Middle East & North Africa
United Arab Emirates,1983,3480.0,Middle East & North Africa
Yemen,1983,2060.0,Middle East & North Africa
Algeria,1984,2500.0,Middle East & North Africa
Djibouti,1984,1520.0,Middle East & North Africa
Egypt,1984,3060.0,Middle East & North Africa
Iran,1984,2740.0,Middle East & North Africa
Iraq,1984,3210.0,Middle East & North Africa
Israel,1984,3260.0,Middle East & North Africa
Jordan,1984,2600.0,Middle East & North Africa
Kuwait,1984,3010.0,Middle East & North Africa
Lebanon,1984,2950.0,Middle East & North Africa
Malta,1984,3000.0,Middle East & North Africa
Morocco,1984,2830.0,Middle East & North Africa
Oman,1984,,Middle East & North Africa
Saudi Arabia,1984,2720.0,Middle East & North Africa
Tunisia,1984,3050.0,Middle East & North Africa
United Arab Emirates,1984,3650.0,Middle East & North Africa
Yemen,1984,2110.0,Middle East & North Africa
Algeria,1985,2610.0,Middle East & North Africa
Djibouti,1985,1560.0,Middle East & North Africa
Egypt,1985,3070.0,Middle East & North Africa
Iran,1985,2710.0,Middle East & North Africa
Iraq,1985,3320.0,Middle East & North Africa
Israel,1985,3320.0,Middle East & North Africa
Jordan,1985,2650.0,Middle East & North Africa
Kuwait,1985,2920.0,Middle East & North Africa
Lebanon,1985,2930.0,Middle East & North Africa
Malta,1985,3070.0,Middle East & North Africa
Morocco,1985,2860.0,Middle East & North Africa
Oman,1985,,Middle East & North Africa
Saudi Arabia,1985,2700.0,Middle East & North Africa
Tunisia,1985,3060.0,Middle East & North Africa
United Arab Emirates,1985,3480.0,Middle East & North Africa
Yemen,1985,2060.0,Middle East & North Africa
Algeria,1986,2630.0,Middle East & North Africa
Djibouti,1986,1600.0,Middle East & North Africa
Egypt,1986,3060.0,Middle East & North Africa
Iran,1986,2720.0,Middle East & North Africa
Iraq,1986,3420.0,Middle East & North Africa
Israel,1986,3360.0,Middle East & North Africa
Jordan,1986,2610.0,Middle East & North Africa
Kuwait,1986,2970.0,Middle East & North Africa
Lebanon,1986,2950.0,Middle East & North Africa
Malta,1986,2950.0,Middle East & North Africa
Morocco,1986,2980.0,Middle East & North Africa
Oman,1986,,Middle East & North Africa
Saudi Arabia,1986,2590.0,Middle East & North Africa
Tunisia,1986,3130.0,Middle East & North Africa
United Arab Emirates,1986,3420.0,Middle East & North Africa
Yemen,1986,2130.0,Middle East & North Africa
Algeria,1987,2630.0,Middle East & North Africa
Djibouti,1987,1560.0,Middle East & North Africa
Egypt,1987,3140.0,Middle East & North Africa
Iran,1987,2790.0,Middle East & North Africa
Iraq,1987,3450.0,Middle East & North Africa
Israel,1987,3440.0,Middle East & North Africa
Jordan,1987,2660.0,Middle East & North Africa
Kuwait,1987,3010.0,Middle East & North Africa
Lebanon,1987,3000.0,Middle East & North Africa
Malta,1987,3040.0,Middle East & North Africa
Morocco,1987,2970.0,Middle East & North Africa
Oman,1987,,Middle East & North Africa
Saudi Arabia,1987,2570.0,Middle East & North Africa
Tunisia,1987,3110.0,Middle East & North Africa
United Arab Emirates,1987,3530.0,Middle East & North Africa
Yemen,1987,2160.0,Middle East & North Africa
Algeria,1988,2700.0,Middle East & North Africa
Djibouti,1988,1590.0,Middle East & North Africa
Egypt,1988,3130.0,Middle East & North Africa
Iran,1988,2710.0,Middle East & North Africa
Iraq,1988,3440.0,Middle East & North Africa
Israel,1988,3360.0,Middle East & North Africa
Jordan,1988,2670.0,Middle East & North Africa
Kuwait,1988,3030.0,Middle East & North Africa
Lebanon,1988,3130.0,Middle East & North Africa
Malta,1988,3140.0,Middle East & North Africa
Morocco,1988,3050.0,Middle East & North Africa
Oman,1988,,Middle East & North Africa
Saudi Arabia,1988,2800.0,Middle East & North Africa
Tunisia,1988,3160.0,Middle East & North Africa
United Arab Emirates,1988,3390.0,Middle East & North Africa
Yemen,1988,2250.0,Middle East & North Africa
Algeria,1989,2760.0,Middle East & North Africa
Djibouti,1989,1530.0,Middle East & North Africa
Egypt,1989,3110.0,Middle East & North Africa
Iran,1989,2860.0,Middle East & North Africa
Iraq,1989,3440.0,Middle East & North Africa
Israel,1989,3340.0,Middle East & North Africa
Jordan,1989,2640.0,Middle East & North Africa
Kuwait,1989,3070.0,Middle East & North Africa
Lebanon,1989,3230.0,Middle East & North Africa
Malta,1989,3170.0,Middle East & North Africa
Morocco,1989,2990.0,Middle East & North Africa
Oman,1989,,Middle East & North Africa
Saudi Arabia,1989,2750.0,Middle East & North Africa
Tunisia,1989,3150.0,Middle East & North Africa
United Arab Emirates,1989,3370.0,Middle East & North Africa
Yemen,1989,2200.0,Middle East & North Africa
Algeria,1990,2750.0,Middle East & North Africa
Djibouti,1990,1610.0,Middle East & North Africa
Egypt,1990,3180.0,Middle East & North Africa
Iran,1990,2880.0,Middle East & North Africa
Iraq,1990,3250.0,Middle East & North Africa
Israel,1990,3400.0,Middle East & North Africa
Jordan,1990,2770.0,Middle East & North Africa
Kuwait,1990,2310.0,Middle East & North Africa
Lebanon,1990,3230.0,Middle East & North Africa
Malta,1990,3020.0,Middle East & North Africa
Morocco,1990,3090.0,Middle East & North Africa
Oman,1990,2350.0,Middle East & North Africa
Saudi Arabia,1990,2870.0,Middle East & North Africa
Tunisia,1990,3150.0,Middle East & North Africa
United Arab Emirates,1990,3080.0,Middle East & North Africa
Yemen,1990,2050.0,Middle East & North Africa
Algeria,1991,2730.0,Middle East & North Africa
Djibouti,1991,1510.0,Middle East & North Africa
Egypt,1991,3170.0,Middle East & North Africa
Iran,1991,2940.0,Middle East & North Africa
Iraq,1991,2360.0,Middle East & North Africa
Israel,1991,3420.0,Middle East & North Africa
Jordan,1991,2820.0,Middle East & North Africa
Kuwait,1991,1900.0,Middle East & North Africa
Lebanon,1991,3280.0,Middle East & North Africa
Malta,1991,3160.0,Middle East & North Africa
Morocco,1991,3070.0,Middle East & North Africa
Oman,1991,2330.0,Middle East & North Africa
Saudi Arabia,1991,2870.0,Middle East & North Africa
Tunisia,1991,3110.0,Middle East & North Africa
United Arab Emirates,1991,3070.0,Middle East & North Africa
Yemen,1991,2030.0,Middle East & North Africa
Algeria,1992,2870.0,Middle East & North Africa
Djibouti,1992,1510.0,Middle East & North Africa
Egypt,1992,3180.0,Middle East & North Africa
Iran,1992,3030.0,Middle East & North Africa
Iraq,1992,2250.0,Middle East & North Africa
Israel,1992,3450.0,Middle East & North Africa
Jordan,1992,2740.0,Middle East & North Africa
Kuwait,1992,2220.0,Middle East & North Africa
Lebanon,1992,3250.0,Middle East & North Africa
Malta,1992,3130.0,Middle East & North Africa
Morocco,1992,2900.0,Middle East & North Africa
Oman,1992,2410.0,Middle East & North Africa
Saudi Arabia,1992,2780.0,Middle East & North Africa
Tunisia,1992,3140.0,Middle East & North Africa
United Arab Emirates,1992,3200.0,Middle East & North Africa
Yemen,1992,2110.0,Middle East & North Africa
Algeria,1993,2870.0,Middle East & North Africa
Djibouti,1993,1570.0,Middle East & North Africa
Egypt,1993,3200.0,Middle East & North Africa
Iran,1993,3110.0,Middle East & North Africa
Iraq,1993,2260.0,Middle East & North Africa
Israel,1993,3400.0,Middle East & North Africa
Jordan,1993,2730.0,Middle East & North Africa
Kuwait,1993,2490.0,Middle East & North Africa
Lebanon,1993,3250.0,Middle East & North Africa
Malta,1993,3130.0,Middle East & North Africa
Morocco,1993,2880.0,Middle East & North Africa
Oman,1993,2320.0,Middle East & North Africa
Saudi Arabia,1993,2740.0,Middle East & North Africa
Tunisia,1993,3170.0,Middle East & North Africa
United Arab Emirates,1993,3230.0,Middle East & North Africa
Yemen,1993,2090.0,Middle East & North Africa
Algeria,1994,2760.0,Middle East & North Africa
Djibouti,1994,1600.0,Middle East & North Africa
Egypt,1994,3260.0,Middle East & North Africa
Iran,1994,3070.0,Middle East & North Africa
Iraq,1994,2230.0,Middle East & North Africa
Israel,1994,3350.0,Middle East & North Africa
Jordan,1994,2630.0,Middle East & North Africa
Kuwait,1994,2930.0,Middle East & North Africa
Lebanon,1994,3280.0,Middle East & North Africa
Malta,1994,3160.0,Middle East & North Africa
Morocco,1994,3000.0,Middle East & North Africa
Oman,1994,2400.0,Middle East & North Africa
Saudi Arabia,1994,2700.0,Middle East & North Africa
Tunisia,1994,3110.0,Middle East & North Africa
United Arab Emirates,1994,3320.0,Middle East & North Africa
Yemen,1994,2050.0,Middle East & North Africa
Algeria,1995,2790.0,Middle East & North Africa
Djibouti,1995,1710.0,Middle East & North Africa
Egypt,1995,3320.0,Middle East & North Africa
Iran,1995,3050.0,Middle East & North Africa
Iraq,1995,2200.0,Middle East & North Africa
Israel,1995,3470.0,Middle East & North Africa
Jordan,1995,2690.0,Middle East & North Africa
Kuwait,1995,3210.0,Middle East & North Africa
Lebanon,1995,3290.0,Middle East & North Africa
Malta,1995,3280.0,Middle East & North Africa
Morocco,1995,2950.0,Middle East & North Africa
Oman,1995,2360.0,Middle East & North Africa
Saudi Arabia,1995,2850.0,Middle East & North Africa
Tunisia,1995,3130.0,Middle East & North Africa
United Arab Emirates,1995,3260.0,Middle East & North Africa
Yemen,1995,2040.0,Middle East & North Africa
Algeria,1996,2780.0,Middle East & North Africa
Djibouti,1996,1690.0,Middle East & North Africa
Egypt,1996,3330.0,Middle East & North Africa
Iran,1996,3050.0,Middle East & North Africa
Iraq,1996,2180.0,Middle East & North Africa
Israel,1996,3500.0,Middle East & North Africa
Jordan,1996,2660.0,Middle East & North Africa
Kuwait,1996,3270.0,Middle East & North Africa
Lebanon,1996,3290.0,Middle East & North Africa
Malta,1996,3290.0,Middle East & North Africa
Morocco,1996,3090.0,Middle East & North Africa
Oman,1996,2400.0,Middle East & North Africa
Saudi Arabia,1996,2910.0,Middle East & North Africa
Tunisia,1996,3200.0,Middle East & North Africa
United Arab Emirates,1996,3250.0,Middle East & North Africa
Yemen,1996,2030.0,Middle East & North Africa
Algeria,1997,2730.0,Middle East & North Africa
Djibouti,1997,1760.0,Middle East & North Africa
Egypt,1997,3360.0,Middle East & North Africa
Iran,1997,3090.0,Middle East & North Africa
Iraq,1997,2100.0,Middle East & North Africa
Israel,1997,3510.0,Middle East & North Africa
Jordan,1997,2750.0,Middle East & North Africa
Kuwait,1997,3340.0,Middle East & North Africa
Lebanon,1997,3370.0,Middle East & North Africa
Malta,1997,3300.0,Middle East & North Africa
Morocco,1997,3100.0,Middle East & North Africa
Oman,1997,2360.0,Middle East & North Africa
Saudi Arabia,1997,2980.0,Middle East & North Africa
Tunisia,1997,3250.0,Middle East & North Africa
United Arab Emirates,1997,3260.0,Middle East & North Africa
Yemen,1997,2050.0,Middle East & North Africa
Algeria,1998,2790.0,Middle East & North Africa
Djibouti,1998,1860.0,Middle East & North Africa
Egypt,1998,3340.0,Middle East & North Africa
Iran,1998,3100.0,Middle East & North Africa
Iraq,1998,2120.0,Middle East & North Africa
Israel,1998,3500.0,Middle East & North Africa
